,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
352,2018-06-25,CONDUCTOR,MASCULINO,30,2018-0064,1,01:15:00,AVENIDA,VARELA AV.,VARELA AV. y PRIMERA JUNTA,7,-58.45855262,-34.63953253,AUTO-CARGAS,AUTO,CARGAS
353,2018-06-26,CONDUCTOR,MASCULINO,35,2018-0065,1,17:30:00,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y JUNCAL",1,-58.38161909,-34.59283447,MOTO-CARGAS,MOTO,CARGAS
354,2018-06-28,PEATON,MASCULINO,73,2018-0066,1,11:00:00,AVENIDA,CORRIENTES AV.,"CORRIENTES AV. y LACROZE, FEDERICO AV.",15,-58.45511899,-34.58698157,PEATON-PASAJEROS,PEATON,PASAJEROS
355,2018-06-29,PASAJERO_ACOMPAÑANTE,FEMENINO,81,2018-0067,1,16:15:00,AVENIDA,"MONTES DE OCA, MANUEL AV.","MONTES DE OCA, MANUEL AV. y FINOCHIETTO ENRIQUE DR.",4,-58.37724226,-34.62973033,PASAJEROS-AUTO,PASAJEROS,AUTO
356,2018-07-01,CONDUCTOR,MASCULINO,21,2018-0068,1,09:00:00,AVENIDA,CARABOBO AV.,"CARABOBO AV. y ALBERDI, JUAN BAUTISTA AV.",7,-58.45546217,-34.62930339,MOTO-AUTO,MOTO,AUTO
357,2018-07-04,CICLISTA,MASCULINO,20,2018-0069,1,21:45:00,AVENIDA,CORDOBA AV.,CORDOBA AV. 2215,2,-58.39897064,-34.59954925,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
358,2018-07-07,CONDUCTOR,MASCULINO,33,2018-0070,1,15:45:00,CALLE,ESTADOS UNIDOS,"ESTADOS UNIDOS y URQUIZA, GRAL.",3,-58.40917826,-34.62126274,MOTO-PASAJEROS,MOTO,PASAJEROS
359,2018-07-10,CONDUCTOR,MASCULINO,61,2018-0071,1,17:50:00,AVENIDA,MORENO,"MORENO y HUERGO, ING. AV.",1,-58.36726348,-34.61099738,MOTO-CARGAS,MOTO,CARGAS
360,2018-07-11,CONDUCTOR,MASCULINO,27,2018-0072,1,13:15:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AU DELLEPIANE LUIS TTE. GRAL. y MONTIEL,8,-58.48267426,-34.68454456,MOTO-CARGAS,MOTO,CARGAS
361,2018-07-11,PEATON,FEMENINO,67,2018-0073,1,15:45:00,AVENIDA,"IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV. 3400",4,-58.39546165,-34.65168841,PEATON-CARGAS,PEATON,CARGAS
362,2018-07-14,CONDUCTOR,MASCULINO,25,2018-0074,1,06:04:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 2968",7,-58.46941984,-34.63376545,AUTO-CARGAS,AUTO,CARGAS
363,2018-07-15,PEATON,MASCULINO,23,2018-0075,1,07:30:00,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y ORTIZ DE OCAMPO,14,-58.40367321,-34.58129246,PEATON-AUTO,PEATON,AUTO
364,2018-07-16,CONDUCTOR,MASCULINO,73,2018-0076,1,09:30:00,CALLE,"CHAVEZ, JORGE","CHAVEZ, JORGE y PAZ, GRAL. AV.",9,-58.52932872,-34.65014993,AUTO-CARGAS,AUTO,CARGAS
365,2018-07-16,CONDUCTOR,MASCULINO,58,2018-0077,1,23:15:00,CALLE,"URQUIZA, GRAL.","URQUIZA, GRAL. y ESTADOS UNIDOS",3,-58.40917826,-34.62126274,AUTO-CARGAS,AUTO,CARGAS
366,2018-07-21,PEATON,MASCULINO,27,2018-0078,1,06:15:00,CALLE,PARAGUAY,PARAGUAY y SANCHEZ DE BUSTAMANTE,2,-58.41264127,-34.59473294,PEATON-AUTO,PEATON,AUTO
367,2018-07-23,PEATON,MASCULINO,46,2018-0079,1,07:15:00,GRAL PAZ,DE LOS CORRALES AV.,"DE LOS CORRALES AV. y PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,PEATON-CARGAS,PEATON,CARGAS
